Set -1 Set 1 Energy Cut Size
[0, 1, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 26, 28, 32, 35, 36, 38, 39, 42, 44, 45, 46, 48, 49, 55, 57, 58, 59, 62, 67, 69, 71, 74, 76, 77, 80, 81, 82, 84, 87, 88, 90, 92, 93, 98], [2, 3, 11, 16, 20, 24, 25, 27, 29, 30, 31, 33, 34, 37, 40, 41, 43, 47, 50, 51, 52, 53, 54, 56, 60, 61, 63, 64, 65, 66, 68, 70, 72, 73, 75, 78, 79, 83, 85, 86, 89, 91, 94, 95, 96, 97, 99], -10.0, 55
[4, 5, 7, 8, 14, 16, 18, 21, 24, 25, 26, 27, 29, 30, 33, 34, 37, 39, 40, 41, 44, 46, 47, 53, 55, 57, 59, 60, 61, 63, 64, 67, 68, 69, 70, 73, 75, 76, 77, 83, 84, 85, 91, 95, 97], [0, 1, 2, 3, 6, 9, 10, 11, 12, 13, 15, 17, 19, 20, 22, 23, 28, 31, 32, 35, 36, 38, 42, 43, 45, 48, 49, 50, 51, 52, 54, 56, 58, 62, 65, 66, 71, 72, 74, 78, 79, 80, 81, 82, 86, 87, 88, 89, 90, 92, 93, 94, 96, 98, 99], -10.0, 55
[0, 7, 9, 10, 13, 15, 18, 19, 20, 21, 22, 24, 25, 30, 33, 34, 37, 39, 45, 46, 47, 48, 49, 51, 53, 55, 56, 57, 58, 59, 66, 67, 68, 69, 71, 74, 76, 78, 83, 85, 88, 89, 90, 91, 92, 95, 99], [1, 2, 3, 4, 5, 6, 8, 11, 12, 14, 16, 17, 23, 26, 27, 28, 29, 31, 32, 35, 36, 38, 40, 41, 42, 43, 44, 50, 52, 54, 60, 61, 62, 63, 64, 65, 70, 72, 73, 75, 77, 79, 80, 81, 82, 84, 86, 87, 93, 94, 96, 97, 98], -10.0, 55
[0, 2, 3, 5, 6, 7, 9, 13, 16, 19, 23, 27, 28, 30, 31, 32, 35, 37, 38, 39, 40, 43, 44, 45, 54, 55, 57, 59, 60, 63, 65, 67, 68, 69, 70, 71, 74, 75, 77, 79, 80, 82, 83, 85, 87, 88, 89, 90, 91, 94, 95, 98, 99], [1, 4, 8, 10, 11, 12, 14, 15, 17, 18, 20, 21, 22, 24, 25, 26, 29, 33, 34, 36, 41, 42, 46, 47, 48, 49, 50, 51, 52, 53, 56, 58, 61, 62, 64, 66, 72, 73, 76, 78, 81, 84, 86, 92, 93, 96, 97], -10.0, 55
[0, 1, 2, 5, 6, 7, 11, 12, 18, 20, 22, 25, 26, 28, 30, 31, 32, 33, 34, 35, 36, 39, 43, 45, 48, 52, 57, 58, 59, 60, 62, 64, 66, 69, 71, 73, 74, 75, 77, 78, 79, 81, 83, 84, 86, 91, 94, 95, 96], [3, 4, 8, 9, 10, 13, 14, 15, 16, 17, 19, 21, 23, 24, 27, 29, 37, 38, 40, 41, 42, 44, 46, 47, 49, 50, 51, 53, 54, 55, 56, 61, 63, 65, 67, 68, 70, 72, 76, 80, 82, 85, 87, 88, 89, 90, 92, 93, 97, 98, 99], -10.0, 55
[0, 1, 2, 6, 7, 9, 11, 12, 14, 17, 21, 22, 23, 26, 28, 31, 33, 34, 35, 36, 39, 41, 45, 46, 47, 49, 50, 51, 52, 53, 55, 57, 58, 60, 61, 62, 63, 64, 67, 68, 70, 71, 73, 74, 75, 76, 77, 78, 79, 80, 81, 84, 85, 91, 93, 94, 95, 96, 97], [3, 4, 5, 8, 10, 13, 15, 16, 18, 19, 20, 24, 25, 27, 29, 30, 32, 37, 38, 40, 42, 43, 44, 48, 54, 56, 59, 65, 66, 69, 72, 82, 83, 86, 87, 88, 89, 90, 92, 98, 99], -10.0, 55
[1, 2, 3, 6, 7, 9, 10, 14, 17, 18, 19, 22, 25, 26, 29, 30, 33, 34, 37, 38, 39, 42, 43, 47, 48, 50, 53, 54, 58, 59, 60, 63, 64, 74, 77, 78, 81, 83, 85, 86, 87, 88, 89, 90, 91, 94, 95, 96, 99], [0, 4, 5, 8, 11, 12, 13, 15, 16, 20, 21, 23, 24, 27, 28, 31, 32, 35, 36, 40, 41, 44, 45, 46, 49, 51, 52, 55, 56, 57, 61, 62, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 79, 80, 82, 84, 92, 93, 97, 98], -10.0, 55
[1, 3, 6, 7, 9, 10, 13, 14, 18, 19, 21, 22, 23, 24, 28, 31, 32, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 51, 53, 54, 55, 56, 58, 59, 63, 64, 65, 66, 67, 68, 72, 74, 77, 78, 79, 80, 82, 84, 86, 91, 92, 93, 94, 95, 97], [0, 2, 4, 5, 8, 11, 12, 15, 16, 17, 20, 25, 26, 27, 29, 30, 33, 34, 36, 48, 50, 52, 57, 60, 61, 62, 69, 70, 71, 73, 75, 76, 81, 83, 85, 87, 88, 89, 90, 96, 98, 99], -10.0, 55
[0, 4, 5, 6, 7, 8, 9, 10, 12, 14, 18, 20, 21, 23, 26, 27, 28, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 53, 57, 58, 59, 62, 63, 65, 66, 67, 68, 70, 72, 73, 78, 80, 82, 83, 84, 87, 89, 92, 96, 97, 98], [1, 2, 3, 11, 13, 15, 16, 17, 19, 22, 24, 25, 29, 30, 31, 32, 33, 34, 37, 38, 49, 52, 54, 55, 56, 60, 61, 64, 69, 71, 74, 75, 76, 77, 79, 81, 85, 86, 88, 90, 91, 93, 94, 95, 99], -10.0, 55
[2, 5, 6, 7, 10, 11, 14, 16, 20, 21, 24, 25, 27, 28, 31, 36, 37, 38, 39, 40, 41, 45, 46, 47, 48, 49, 51, 58, 59, 63, 64, 66, 67, 68, 70, 71, 73, 74, 76, 77, 78, 81, 82, 85, 87, 92, 95, 96, 97], [0, 1, 3, 4, 8, 9, 12, 13, 15, 17, 18, 19, 22, 23, 26, 29, 30, 32, 33, 34, 35, 42, 43, 44, 50, 52, 53, 54, 55, 56, 57, 60, 61, 62, 65, 69, 72, 75, 79, 80, 83, 84, 86, 88, 89, 90, 91, 93, 94, 98, 99], -10.0, 55
